Course ID,CSC00004,,,,
Class ID,Error,,,,
Course name,Error,,,,
Teacher,Error,,,,
Number of credits,0,,,,
Max enroll,50,,,,
Weekday,MON,,,,
Session,7:30,,,,
Number of students,45,,,,
No,StudentID,Midterm,Final,Other,Total
1,21120001,8.3,7.3,7.5,5.0
2,21120002,8.1,1.2,8.2,4.8
3,21120003,3.5,1.5,3.7,9.1
4,21120004,5.4,3.8,7.4,7.9
5,21120005,1.4,1.6,8.2,8.4
6,21120006,4.5,8.8,4.4,9.2
7,21120007,2.3,6.0,5.0,8.3
8,21120008,7.1,5.2,1.7,8.6
9,21120009,7.3,3.7,2.0,4.8
10,21120010,8.9,5.2,7.1,7.8
11,21120011,5.7,2.8,7.5,3.3
12,21120012,3.3,3.5,8.4,5.3
13,21120013,9.8,2.9,1.9,5.5
14,21120014,4.4,3.6,7.5,9.9
15,21120015,9.1,8.3,2.4,3.5
16,21120016,8.7,2.9,9.8,6.6
17,21120017,3.1,3.9,8.8,1.8
18,21120018,7.7,9.2,3.5,5.3
19,21120019,9.1,6.7,9.1,2.8
20,21120020,1.2,3.6,3.8,7.3
21,21120046,5.2,6.7,5.3,9.9
22,21120047,2.5,9.2,2.9,6.6
23,21120048,2.6,5.0,7.6,1.5
24,21120049,1.7,2.2,10.0,8.8
25,21120050,5.5,9.0,1.2,5.6
26,21120051,2.1,4.0,8.4,3.5
27,21120052,7.3,2.2,6.5,6.7
28,21120053,9.9,7.8,1.8,8.7
29,21120054,6.6,1.6,2.1,8.9
30,21120055,8.1,9.8,4.9,4.7
31,21120056,4.4,4.8,6.7,9.7
32,21120057,1.1,1.9,1.5,4.8
33,21120058,1.3,6.9,2.1,10.0
34,21120059,7.0,9.6,4.4,6.9
35,21120060,8.7,6.5,2.8,8.3
36,21120061,9.6,4.7,4.9,6.2
37,21120062,2.2,1.7,2.7,4.7
38,21120063,7.5,7.9,7.5,7.0
39,21120064,3.9,8.9,3.9,1.3
40,21120065,3.1,5.1,6.9,3.0
41,21120066,4.0,5.1,3.3,8.7
42,21120067,5.3,1.2,7.8,6.1
43,21120068,5.3,3.4,2.1,7.5
44,21120069,9.6,7.0,8.2,2.3
45,21120070,2.7,1.0,7.9,2.8
