'64fa2fb,HuyZerox,Wed, 10 May 2023 16:44:22 +0700,Graphics/Scene: rearrange and resize objects in EditScoreboardScene,'	 1 file changed, 6 insertions(+), 6 deletions(-)	
'13ecec0,HuyZerox,Wed, 10 May 2023 16:41:12 +0700,Graphics/Scene: rearrange and resize objects in CourseScene,'	 1 file changed, 24 insertions(+), 22 deletions(-)	
'b0905a7,hydroshiba,Wed, 10 May 2023 16:38:42 +0700,Reduced amount of Dropbox options displaying,'	 1 file changed, 1 insertion(+), 1 deletion(-)	
'c0eb4c6,HuyZerox,Wed, 10 May 2023 16:26:45 +0700,Graphics/Scene: rearrange objects that cause collision,'	 1 file changed, 2 insertions(+), 2 deletions(-)	
'160a123,HuyZerox,Wed, 10 May 2023 16:17:51 +0700,Graphics/Scene: rename 'SchoolYear' to 'AcademicYear' in ListAcademicYearScene objects,'	 2 files changed, 38 insertions(+), 38 deletions(-)	
'fe7f9b8,HuyZerox,Wed, 10 May 2023 16:15:43 +0700,Graphics/Scene: rename 'Class' to 'Semester' in AcademicYearScene objects,'	 2 files changed, 51 insertions(+), 51 deletions(-)	
'4535bd4,HuyZerox,Wed, 10 May 2023 16:13:04 +0700,Graphics/Scene: clear text when move between scenes,'	 8 files changed, 11 insertions(+), 8 deletions(-)	
'f8a6c5c,HuyZerox,Wed, 10 May 2023 16:06:04 +0700,Graphics: delete StudentScoreboardsScene,'	 6 files changed, 7 insertions(+), 72 deletions(-)	
'9d1afda,HuyZerox,Wed, 10 May 2023 16:01:54 +0700,Components/RemoveFunction: fix bugs lost data,'	 2 files changed, 11 insertions(+), 7 deletions(-)	
'169bdd2,huhyhuvinh,Wed, 10 May 2023 14:27:39 +0700,Small changes in UpdateFunction,'	 1 file changed, 3 insertions(+), 3 deletions(-)	
'5bcc840,huhyhuvinh,Wed, 10 May 2023 14:23:47 +0700,Small updates to fix bugs in UpdateFunction,'	 2 files changed, 40 insertions(+), 2 deletions(-)	
'f18eb49,HuyZerox,Wed, 10 May 2023 11:26:55 +0700,Add demo video link,'	 1 file changed, 1 insertion(+)	
'35972e6,HuyZerox,Wed, 10 May 2023 00:46:23 +0700,Data: change LSYs and LAYs,'	 2 files changed, 5 insertions(+), 3 deletions(-)	
'db9afd5,HuyZerox,Wed, 10 May 2023 00:11:07 +0700,Graphics/Scene: update StaffScene and StudentScene,'	 2 files changed, 6 insertions(+), 2 deletions(-)	
'2c4ba2a,HuyZerox,Wed, 10 May 2023 00:10:09 +0700,.\Components\ImportAndExportFunction.cpp,'	 2 files changed, 28 insertions(+), 6 deletions(-)	
'aea2284,HuyZerox,Wed, 10 May 2023 00:09:44 +0700,Data: update testing data,'	 26 files changed, 1052 insertions(+), 65 deletions(-)	
'fcb866b,HuyZerox,Tue, 9 May 2023 16:16:39 +0700,Data/ExportData: remove test file,'	 5 files changed, 112 deletions(-)	
'10e37fd,HuyZerox,Tue, 9 May 2023 16:11:21 +0700,Components/InsertFunction: small change to fix bug,'	 1 file changed, 2 insertions(+), 2 deletions(-)	
'9fac1ae,HuyZerox,Tue, 9 May 2023 15:57:31 +0700,Components/RemoveFunction, InsertFunction: small fix bug,'	 1 file changed, 1 insertion(+), 1 deletion(-)	
'0b5a321,HuyZerox,Tue, 9 May 2023 15:33:54 +0700,Components/Student: getGPA() return correct gpa,'	 1 file changed, 6 insertions(+), 3 deletions(-)	
'aafb641,HuyZerox,Tue, 9 May 2023 15:29:01 +0700,Components/DisplayFunction: fix small bug,'	 1 file changed, 1 insertion(+), 1 deletion(-)	
'96190b7,HuyZerox,Tue, 9 May 2023 15:28:30 +0700,Graphics/Scene: rearrange objects and use DropBox instead of InputBox to choose Semester In StudentScene and StaffScene,'	 4 files changed, 86 insertions(+), 69 deletions(-)	
'a73e67a,huhyhuvinh,Tue, 9 May 2023 14:37:04 +0700,Add 2 getListSemester function in DisplayFunction,'	 2 files changed, 42 insertions(+)	
'3e3cc28,HuyZerox,Tue, 9 May 2023 14:19:51 +0700,Graphics/Scene: clear() and add() DropBox when move between Scene,'	 8 files changed, 18 insertions(+), 17 deletions(-)	
'2e9660e,hydroshiba,Tue, 9 May 2023 12:18:43 +0700,Added reset to default for dropbox,'	 2 files changed, 12 insertions(+), 1 deletion(-)	
'21bc56f,hydroshiba,Tue, 9 May 2023 12:05:49 +0700,Minor vector changes,'	 1 file changed, 5 insertions(+), 3 deletions(-)	
'9480cc3,HuyZerox,Tue, 9 May 2023 11:27:50 +0700,Graphics: small change in StaffScene2,'	 1 file changed, 2 insertions(+), 2 deletions(-)	
'd4217da,HuyZerox,Tue, 9 May 2023 11:11:48 +0700,Graphics/Scene: rearrange and decorate for Scene,'	 10 files changed, 25 insertions(+), 14 deletions(-)	
